Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
P11972,,,,"Q09777","P11972","Q6C8P6",,,,,"O62090",,,,,,,,,,,,,,,
P43132,,,,,"P43132;Q06920",,,,,,,,,,,,,,,,,,,,,
P46985,,,,,"Q6B221;P46985",,,,"Q5AIC6;Q5AJ56",,,,,,,,,,,,,,,,,
Q04781,,,,"O74349","Q04781","Q6C4G2","Q7S834",,"Q59LG8",,,,,,,,,,,,,,,,,
P00127,"Q8LDP7;Q0WWE3;Q9SJV7",,,"O42932","P00127","Q6C0H4","Q7S035","Q4PG23",,,"O45864","Q16RW9;Q1HR18",,,,"Q3B750",,,,,"P07919;Q567R0",,,"P99028","Q5M9I5",
P40085,,,,,"P40085",,,,"Q59NM9",,,,,,,,"Q5EAY8",,,,"Q6NXT6",,,,,
P53860,,,,,"P53860",,,,"Q59VW2;Q59VR6",,,,,,,,,,,,,,,,,
P39552,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06168,,,,,"Q06168",,,,,,,,,,,,,,,,,,,,,
P47029,,,,,"P47029",,,,,,,,,,,,,,,,,,,,,
P23503,,,,"Q9Y7N7","P23503","Q6CFR3","Q7SGW5",,"Q5APK7",,"Q9N392",,,,,,,,,,,,,,,
Q02046,,,,"Q9P786","Q02046","Q6CEX7","Q7SGF9",,"Q5A680",,,,,,,,,,,,,,,,,
P15454,,,,"Q9P6I5","P15454","Q6CBQ9","Q7SAD0","Q4PAL4","Q59N73",,"P91425","Q16RC6","Q9VTB3",,,"Q6PBW1","Q6AZF5",,,,"Q5T435;Q5T434;Q16774;Q5T433",,,"Q564G0;Q64520","Q71RR7",
P42937,,,,,"P42937",,"Q7SAI3",,"Q59SI7",,,,,,,,,,,,,,,,,
P38829,,,,"Q9UTL0","P38829","Q6CEL6","Q7SHP2",,"Q5AH78",,,,"Q29QJ3",,,,,,,,"Q9Y3D0",,,"Q9D187",,
P40017,,,,,"P40017",,,,"Q59MQ8",,,,,,,,,,,,,,,,,
P53207,,,,,"P53207",,,,,,,,,,,,,,,,,,,,,
P38149,,,,,"P38149","Q6C2N8","Q6NE94",,,,,,,,,,,,,,,,,,,
P35200,,,,,"P35200",,,,,,"O62173","Q16HW5","Q9V3U9",,,,,,,,,,,,,
Q08975,"Q8L7M9;Q5M731",,,"O94266;O94265;Q9USL6","Q06490;Q08975;Q08224",,"P79048;Q7SBV9",,"Q5AHA7",,,,,,,,,,,,,,,,,
P41808,,,,,,,,,,,,,,,,,,,,,,,,,,
P21524,"Q9SJ20",,,"P36602","P21524;P21672",,,,"Q5A0N3",,,,,,,,,,,,,,,,,
Q08579,,,,,,,,,,,,,,,,,,,,,,,,,,
P22204,,,,,"P22204",,,,,,,,,,,,,,,,,,,,,
P19358,,,,"O60198","P19358;Q6B194;P10659",,"P48466",,,,"O17680;Q8I4F2;Q27522",,,,,,,,,,,,,,,
P53974,,,,,"P53974",,,,,,,,,,,,,,,,,,,,,
P33122,,,,,"P33122",,"Q6MGG8",,,,,,,,,,,,,,,,,,,
Q04336,,,,,,,,,,,,,,,,,,,,,,,,,,
P32333,"Q9M378",,,,"P32333","Q6BZT4","Q7S1Z7","Q4P6N3",,,"O45899","Q16JW5","Q8IG93;Q9VF02;Q86NV8;Q71V44",,,,,,,,"Q59HB6;Q8N6J1;O14981",,,"Q52KH4;Q8BTS9;A0ZVB6",,
P38777,,,,,"P38777",,,,"Q5ADX4",,,,,,,,,,,,,,,,,
P09436,"O82613",,,"O13651","P09436","Q6CIA2","Q873K4","Q4P403","Q59RI1",,"Q21926","Q0IGE7","Q8MSW0",,,"Q6PGU7","Q6P284",,,,"Q7Z355;Q7Z3T4;Q6P0M4;Q5TCD1;Q7Z3U5;P41252;Q59G75",,,"Q3UWS7;Q8BU30;Q6NXK4",,
P38833,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06315,,,,,,,,,,,,,,,,,,,,,,,,,,
P42943,"Q9SF16",,,"P87153","P42943","Q6CB92","Q7S2S6","Q4PH48","Q59YH4",,"Q9TZS5",,"Q9VHL2",,,"Q8JHG7;Q7ZTS3","Q7ZXA9;Q7ZYP8",,,,"Q99832",,,"P80313",,
Q12502,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03660,,,,,"Q03660","Q6CDM8",,,"Q5A496;Q5A444",,,,,,,,,,,,,,,,,
P28240,"P28297",,,,"P28240","P41555","P28299","Q4P6H8","Q9P8Q7;Q59RB8",,,,,,,,,,,,,,,,,
P21374,,,,"O74370","P21374","Q6C9I7","Q7SHY8","Q4PEZ0",,,,,,,,,,,,,,,,,,
P15801,,,,,"P15801",,,,,,,,,,,,,,,,,,,,,
Q07878,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06592,,,,,"P39979;Q06592","Q6CDY1",,,"Q59L94",,,,,,,,,,,,,,,,,
P53252,,,,,,,,,,,,,,,,,,,,,,,,,,
P05745,"Q9LZ57;Q9M352;O80929",,,"Q92365;O94658","O14455;P05745",,"Q7SEP1",,"P47834",,,,,,,,,,,,,,,,,
P53397,"Q9FNY7",,,,"P53397","Q6CEU4","Q7SDG8","Q4PF09","Q5A0A5",,,"Q16JX8;Q16ZM0","Q6NL83;Q9V3I8",,,"Q0P4B1","Q4V7Y3",,,,"O15527;Q9HCR8",,,"O08760","O70249",
Q08045,,,,,,,,,,,,,,,,,,,,,,,,,,
P40499,,,,,,,,,,,,,,,,,,,,,,,,,,
P15274,,,,"P50998","P15274","Q6C690","Q9P3N4","Q4P5J1","Q5AHA6",,,,,,,,,,,,,,,,,
P53060,,,,,"P53060",,,,,,,,,,,,,,,,,,,,,
P41056,,,,"Q9USX4;Q9USG6","P41056;P05744","Q6BZR8;Q6C3V0","Q7S156",,,,,,,,,,,,,,,,,,,
Q8TGT6,,,,,,,,,,,,,,,,,,,,,,,,,,
P43639,,,,"O94281","P43639","Q6C556","Q8TG12","Q4PFL9","Q5ACW5;O59906",,,,,,,,,,,,,,,,,
Q12107,,,,,,,,,,,,,,,,,,,,,,,,,,
P53541,,,,,"P53541",,,,"Q59NQ1",,,,,,,,,,,,,,,,,
Q08492,,,,,,,,,,,,,,,,,,,,,,,,,,
P38342,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12320,,,,"Q9UT36;O94250","Q05584;Q12320",,"Q9C2G8",,,,,,,,,,,,,,,,,,,
P87262,"Q9FE65;Q9LJW6;Q42351",,,"Q9URT8;O42846","P87262","Q6CD02",,,,,"Q95X53",,,,,,,,,,,,,,,
P40002,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08001,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06132,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07959,,,,,,,,,,,,,,,,,,,,,,,,,,
P18494,,,,,"P18494",,,,"Q5AKA8",,,,,,,,,,,,,,,,,
P01120,,,,,"P01120",,,,,,,,,,,,,,,,,,,,,
P43581,,,,,"P23585;P43581",,"Q8WZY1",,"Q5AD44;Q5ADH6",,,,,,,,,,,,,,,,,
P22137,"Q9SRM1;Q0WNJ6",,,"Q10161","P22137","Q6CGR2","Q7SHV2","Q4P7J2",,,"P34574",,"P29742",,,,,"Q8UUR1",,,,,,,"P11442",
P53135,,,,,"P53135",,,,,,,,,,,,,,,,,,,,,
P13663,,,,,"P13663",,,,,,,,,,,,,,,,,,,,,
Q3E840,,,,"Q9UT33","Q3E840","Q6C0G3","Q7SC15","Q4P8G2",,,,,,,,,,,,,,,,,,
Q04947,,,,,,,,,,,,,,,,,,,,,,,,,,
P38773,,,,,"P38774;P38773",,,,"O93989",,,,,,,,,,,,,,,,,
P53304,,,,,"P53304",,,,,,,,,,,,,,,,,,,,,
P38700,,,,,"P38700",,,,"Q5ACY9",,,,,,,,,,,,,,,,,
Q12156,,,,"O13808","Q12156",,,"Q4PF45",,,,,,,,,,,,,,,,,,
Q04066,,,,,"Q04066",,,"Q4PID5","Q59ZV4",,,,,,,,,,,,,,,,,
P50104,,,,,"P50104",,,,"Q59YJ3",,,,,,,,,,,,,,,,,
P0C2H7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02336,"Q9ATB4",,,"Q9P7J7","Q02336","Q6C1P9","Q6M9H0;Q7RYE8","Q4P3V0",,,,,,,,,,,,,,,,,,
P53550,"Q9FNB6;Q8GW31",,,"O13828","P16467;P06169;P53550","Q6CC24","Q7SB05","Q4PG03","Q5A392",,,,,,,,,,,,,,,,,
P22224,,,,"O75006","P22224","Q6C1W0","Q7RYL2","Q4P319",,,,,,,,,,,,,,,,,,
Q12026,,,,,,,,,,,,,,,,,,,,,,,,,,
P32906,"Q9C8R9;Q93Y37",,,"Q9P7C3","P32906","Q6C8S3","Q8X0C6",,"Q8J0Q0;Q59VQ7",,"Q22120;Q23296",,"Q9VAP8",,,,,,,,"Q9UKM7",,,,,
P53249,,,,,,,,,,,,,,,,,,,,,,,,,,
P40433,,,,"Q9UTE1;Q8TFH0","P40433","Q6C045","Q9P522",,"Q5APL1;Q5AQ55",,,,,,,,,,,,,,,,,
P38431,"Q9C8F1;Q9S825",,,"Q09689","P38431","Q6C9Y1","Q7RYU2","Q4P2V4","Q5AGB9",,"Q22918;Q8I7H7","Q17PW1","Q9VXK6",,,"Q7ZWA9","Q8AVM2","Q5ZIE0",,,"Q6IBU0;Q53XB3",,,"Q3TKY2;Q3TQR3","Q07205",
P38317,,,,,,,,,,,,,,,,,,,,,,,,,,
P43573,,,,,"P43573",,,,,,,,,,,,,,,,,,,,,
P40693,,,,,"P40693",,,,"Q59V85",,,,,,,,,,,,,,,,,
Q99190,,,,,"Q99190",,,,,,,,,,,,,,,,,,,,,
Q12311,,,,"O74759","Q12311","Q6C7S8","Q7RWS7",,"Q5ANJ1",,"Q20318",,,,,"Q803M2",,,,,"Q7Z6E0;Q86X06",,,,,
P00044,"P29380",,,"P00046","Q06714;P07143;P00044;P00045","Q6C9Q0","P00048","Q4PB05","P53698",,"P19974",,,,,,,,,,,,,,,
P38884,,,,"Q10102","P38884","Q6C8V2","Q9P717",,"Q59MI3",,,,,,,,,,,,,,,,,
Q08119,,,,,,,,,,,,,,,,,,,,,,,,,,
P11163,,,,"Q8NKC0;P87015;Q8TFF8;Q9UTS7;Q9USN7","P38986;P11163",,,,,,,,,,,,,,,,,,,,,
P43555,,,,"O42707","P43555",,,,,,,,,,,,,,,,,,,,,
Q01519,,,,"O94581","Q01519","Q6C5M8","Q873A4","Q4PB70",,,,,,,,,,,,,,,,,,
P43567,,,,,"P43567","Q6C5N1","Q7RWC1","Q4PB92",,,,,,,,,,,,,,,,,,
P53123,,,,"Q8TFH4","P53123","Q6C3V1","Q7RXJ5",,,,,,,,,,,,,,,,,,,
P46950,,,,,"P46950",,,,,,,,,,,,,,,,,,,,,
P28519,,,,"O59753","P28519","Q6CG24","Q7SCF3","Q4PAX8","Q5AH21",,"Q21302","Q16R73","P28518",,,,"P27088;Q91916","P27089",,,"Q6LD02;P23025",,,"Q9CVA0;Q8R4W5;Q64267;Q8K2X7",,
Q06681,,,,,"Q06681",,,,,,,,,,,,,,,,,,,,,
Q00772,,,,"Q92398","Q00772","Q6CFX3","Q7RVR1","Q4PHJ2","P43068",,,,,,,,,,,,,,,,,
P53389,,,,,"P53389",,,,,,,,,,,,,,,,,,,,,
P43540,,,,,,,,,,,,,,,,,,,,,,,,,,
P38430,"Q9SRQ4;Q9LF67",,,"P41890","Q6B2J9;P38430","Q6C3Z8","Q7S8M5",,,,,,,,,,,,,,,,,,,
Q02883,,,,,"Q02883","Q6CE36",,"Q4P3G4","Q5ABA9",,,,,,,,,,,,,,,,,
P23500,,,,,"P23500;P10566",,"Q7S4D6","Q4PFQ4",,,,"Q175U9",,,,,,,,,,,,,,
P47022,,,,,,,,,,,,,,,,,,,,,,,,,,
P09937,,,,,"P09937",,,,,,,,,,,,,,,,,,,,,
P32331,,,,,"P32331",,,,,,,,,,,,,,,,,,,,,
P53885,,,,,"P38845;P53885",,,,,,,,,,,,,,,,,,,,,
P53906,,,,,,,,,,,,,,,,,,,,,,,,,,
P38200,,,,,"P38200",,,,,,,,,,,,,,,,,,,,,
Q3E760,,,,,,,,,,,,,,,,,,,,,,,,,,
P39001,,,,,"P39001",,,,,,,,,,,,,,,,,,,,,
Q12040,,,,"O94461","Q12040",,,,"Q5ABB4",,,,,,,,,,,,,,,,,
P40576,,,,,"P40576",,,,,,,,,,,,,,,,,,,,,
P36123,,,,,"P36123",,,,,,,,,,,,,,,,,,,,,
Q12746,"P83291",,,"O74557","Q04516;Q12746",,"Q7RXL1",,,,"O16521","Q16JT1","Q9I7R1;Q0E8F4;Q0E8F5;Q4LDP7",,,"Q0P487",,,,,,,,,,
P47140,"Q8LGK3;Q9SI32",,,"Q9UT84","P47140","Q6CEC6",,,"Q5AK91;Q5AKQ4",,,,,,,,,,,,,,,,,
P48237,,,,,"P48237",,,,,,,,,,,,,,,,,,,,,
P53923,,,,,,,,,,,,,,,,,,,,,,,,,,
P00724,,,,,"P00724","Q6C4H7",,,,,,,,,,,,,,,,,,,,
Q02208,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7LHG5,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12248,,,,,,,,,,,,,,,,,,,,,,,,,,
P47122,"Q8L9E7;O49703;Q8W586",,,"O42906","P47122","Q6C525","Q7RY56","Q4PEI3",,,"P46577","Q16TZ7",,,,,"Q3KQ86",,,,"Q9HCN4",,,"Q8VCE2",,
Q06032,,,,,,,,,,,,,,,,,,,,,,,,,,
P17891,,,,"Q9USP6","P17891","Q6C3P2","Q8NIW3","Q4PEZ7","Q5AMQ2",,,,,,,,,,,,,,,,,
P09959,,,,,"P09959",,,,,,,,,,,,,,,,,,,,,
P32774,,,,"O74948","P32774","Q6C0S4","Q7SEH7",,"Q5AMM1",,,,,,,,,,,,,,,,,
Q12229,,,,,,,,,,,,,,,,,,,,,,,,,,
P38090,,,,,"P38090","Q6CCP6",,,"Q5AMG7",,,,,,,,,,,,,,,,,
Q12338,,,,,,,,,,,,,,,,,,,,,,,,,,
P47023,,,,,"P47023;Q6Q5P6",,,,,,,,,,,,,,,,,,,,,
P38264,,,,,"P38264","Q6CFR7","Q7SCF2",,"Q5A3Y2",,,,,,,,,,,,,,,,,
Q99222,,,,,,,,,,,,,,,,,,,,,,,,,,
P35177,,,,"P87152","P35177",,"Q7S592",,"Q5ACS0",,,,,,,,,,,,,,,,,
P12962,,,,,"P12962",,,,"Q5AQ12",,,,,,,,,,,,,,,,,
P53102,"Q8GYD2",,,"Q09739","P53102",,,,"Q59RP1",,,"Q16KR5;Q6Q9F9;Q16KR8",,,,"Q6DC61","Q5XGY9",,,,"Q9BWT6",,,"Q8K396",,
P32568,,,,,"P32568",,,,,,,,,,,,,,,,,,,,,
Q04779,,,,"Q09698","Q04779",,"Q7RXT5",,"Q5AH34",,,,,,,,,,,,,,,,,
P11792,,,,"P50530","P11792","Q6C936","Q7SGW9","Q4PH11","Q5AHG6",,,,,,,,,,,,,,,,,
P38590,,,,"O13453","P40479;P38590",,"Q7SB61",,"P43078",,,,,,,,,,,,,,,,,
P15496,,,,"Q10132","P15496","Q6C2Y8","Q7S8S0","Q4P4X5","Q5AF31",,,,,,,,,,,,,,,,,
Q12328,"A2RVP7;A1XJK0",,,"P87146","Q12328","Q6BZY4",,"Q4PBF0","Q59KG4",,"Q9NAQ9","Q17Q11","Q8IN78",,,,"Q5U4U5",,,,"Q9Y584",,,"Q9CQ85","Q9JKW1",
P52488,"Q8LKN2;Q8GYC2;Q84YI5;Q9SJT1",,,"O42939","P52488","Q6CA35","Q9P3F0","Q4PFW2",,,"Q9NAN1","Q16SB9","Q9VSD9;Q7KJV6;Q7KUA4",,,"Q7SXG4","Q7ZY60;Q642Q1","Q5ZKH7",,,"Q9UBT2",,,"Q9Z1F9;A2BH28",,
P34248,,,,,"P34248",,"Q7SF82",,,,,,,,,,,,,,,,,,,
P36083,,,,,"P36083",,,,,,,,,,,,,,,,,,,,,
P39935,"Q76E23;Q0WVG9",,,"Q10475","P39935","Q6CD12","Q7SBU1","Q4P632",,,,,,,,,,,,,,,,,,
Q07807,"Q9ZW07",,,"O94462;Q1MTN1","Q07807","Q6C669",,,"Q59P09",,,,,,,,,,,,,,,,,
P21951,"Q9ZVC8;Q9SGD5",,,"P87154","P21951","Q6C4J0","Q7RWE3","Q4PFV5",,,"O62218","Q17H50","Q9VCN1;Q9GV40",,,,,,,,"Q07864;Q9Y5S4;Q9UNF3;Q9Y5S5",,,"Q9WVF7;Q80XH7",,
Q08734,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08208,,,,"O13741","Q08208",,,,,,,,,,,,,,,,,,,,,
Q07457,,,,,"Q07457","Q6CF78","Q7S304",,"Q5A4X0",,,,,,,,,,,,,,,,,
Q3E7Y6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04978,,,,,,,,,,,,,,,,,,,,,,,,,,
P38077,,,,"O74754","P38077;Q76MT6","Q6C338","Q7S2M9","Q4P473","Q5A8A4;Q5A8H1",,,,,,,,,,,,,,,,,
P47062,,,,,,,,,,,,,,,,,,,,,,,,,,
P0C5N3,,,,,,,,,,,,,,,,,,,,,,,,,,
P53869,,,,,"P53869",,,,,,,,,,,,,,,,,,,,,
Q12158,,,,,"Q12158","Q6CFB9","Q7SDW4",,"Q5ACK9",,,,,,,,,,,,,,,,,
P12683,,,,"Q10283","P12683;Q6B2D0;P12684","Q6C704","Q7SET4",,"Q59VR2","P16237",,,"P14773","P16393",,,"P20715",,,,"P04035",,"Q29512",,,
P53956,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08096,"Q9C578;Q683I1;Q67XN9",,,"Q09870","Q08096","Q6CHS3","Q7SH54",,"Q59U65;Q59UB1",,"Q23400","Q17MD2","P56175",,,"Q6DRI3;Q504F0","Q7ZXF0;Q2NLA9",,,,"Q9Y2P8",,,"Q3THS8;Q9JJT0",,
P40312,,,,"Q9USM6","P40312","Q6C9D3","Q9P5L0","Q4PF19",,,,,,,,,,,,,,,,,,
P11746,,,,,"P11746",,,,,,"Q18955",,"Q24535",,,,,,,,"P11831",,,,,
Q06511,,,,"Q9UTD7","Q06511","Q6CC35","Q7S0K3",,"Q59JS3",,"P91318","Q17CR7","B5RJG4;Q9VFE6",,,"Q7ZV20","Q5XFZ7",,,,"A8K201;Q9Y3B9",,,"Q9CYX7","Q5M947",
P53283,,,,"Q7Z9I0","P53283;Q06451","Q6CDU4",,,"Q5APM9",,,,,,,,,,,,,,,,,
P23542,,,,,"P23542",,,,,,,,,,,,,,,,,,,,,
Q04018,,,,,,,,,,,,,,,,,,,,,,,,,,
P38131,,,,,"P38131",,"Q9HEK0",,"Q9P874;Q59QH4",,,,,,,,,,,,,,,,,
P53221,,,,"P78946","P05743;Q3E788;P53221","Q6C540","Q8WZX2",,,,,,,,,,,,,,,,,,,
P50082,,,,,"P50082",,,,,,,,,,,,,,,,,,,,,
P32579,,,,"O94530","P32579","Q6C6H7","Q7SHS7","Q4PCC1","Q5AFI0",,,,,,,,,,,,,,,,,
P47009,,,,,,,,,,,,,,,,,,,,,,,,,,
P32600,"Q9FR53",,,"Q9Y7K2","P32600;P35169",,"Q7S6V7",,,,,,,,,,,,,,"P42345",,,"Q9JLN9","P42346",
P40091,,,,,"P40091",,,,,,,,,,,,,,,,,,,,,
Q12041,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06159,,,,,,,,,,,,,,,,,,,,,,,,,,
P53830,,,,,,,,,,,,,,,,,,,,,,,,,,
P38852,,,,"O94693","P38852","Q6C4J9",,,"Q59SP6;Q59SM4",,,,,,,,,,,,,,,,,
Q3E766,,,,,,,,,,,,,,,,,,,,,,,,,,
P32502,"Q9SFW0",,,"Q9UT76","P32502","Q6C0I8","Q871J1","Q4PFW6","Q5AHH2",,,"Q1HQF9","O76863",,,"Q6NXC7",,"Q5ZL25",,,"Q53XC2;P49770;Q9BPX4",,"Q28690","Q8BK57;Q99LD9","Q62818;Q6IRS8",
P17214,,,,,,,,,,,,,,,,,,,,,,,,,,
P36157,,,,,,,,,,,,,,,,,,,,,,,,,,
P40956,,,,,"P40956",,,,"Q5A369",,,,,,,,,,,,,,,,,
P50277,,,,,,,,,,,,,,,,,,,,,,,,,,
P32775,,,"Q8NKE1",,"P32775","Q6CCT1","Q9P5P3","Q4P5Z3","Q5ABS8;Q5AC50",,"Q86G92;Q22137","Q16PC7;Q16SE5","A1Z992",,,,"Q6DFJ1;Q5XG45",,,,"Q59ET0;Q04446",,,"Q8C7E6;Q9D6Y9",,
Q04264,,,,,,,,,,,,,,,,,,,,,,,,,,
P34162,,,,,"P34162","Q6CAY6",,,,,,,,,,,,,,,,,,,,
Q06537,,,,,"Q06537",,,,"Q5AEB7",,,,,,,,,,,,,,,,,
P40513,,,,,"P40513",,,,"Q5A0A8",,,,,,,,,,,,,,,,,
P09547,,,,"O74365","P09547",,"Q7S517",,"Q59UR3",,,,,,,,,,,,,,,,,
Q03898,,,,,"Q03898",,,,,,,,,,,,,,,,,,,,,
P36069,,,,,,,,,,,,,,,,,,,,,,,,,,
P53255,"Q9LTT0;Q84WU9",,,"Q10414","P53255","Q6CDP5","Q7SG69",,,,"O16216","Q16Y67",,,,"Q5RGJ5","Q8AVL0",,,,"Q69YN2",,,"Q8CI33",,
Q02202,,,,,"Q02202",,,,,,,,,,,,,,,,,,,,,
P21243,,,,"O94517","P21243","Q6CCW2","Q7S051",,"Q5A7T8;Q5A838",,,,,,,,,,,,,,,,,
Q12402,,,,"Q9UU91","Q12402",,"Q871R7","Q4P0H0",,,,,,,,,,,,,,,,,,
P42221,,,,,,,,,,,,,,,,,,,,,,,,,,
P38755,,,,,"P38755",,,,,,,,,,,,,,,,,,,,,
Q03525,,,,,"Q03525","Q6C377",,,"Q5A9A1",,,,,,,,,,,,,,,,,
Q04599,,,,"Q9P6M9","Q04599","Q6C9A2",,,"Q59LA1",,,,,,,,,,,,"Q9BYD6",,,"Q99N96",,
Q08560,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E7A7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02209,,,,,,,,,,,,,,,,,,,,,,,,,,
P33315,,,,,"P33315",,,,,,,,,,,,,,,,,,,,,
Q12207,,,,,"Q12207",,,,,,,,,,,,,,,,,,,,,
P42221,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2V2P6,,,,,,,,,,,,,,,,,,,,,,,,,,
P07170,,"O93986;O93985",,"P33075","Q6Q539;P07170","Q6CG57","Q9HE76","Q4PCS5",,,"P34346","Q1HQK0","Q9U915",,,"Q1L8L9;Q7T3D7","Q8AVD3",,,,"P54819;Q5TIF8",,,"Q8C7I9;Q3TI11;Q3THT3;Q9WTP6","P29410;Q6P7C6",
P41913,,,,,"P41913",,,,,,,,,,,,,,,,,,,,,
Q07451,,,,"O14290","Q07451","Q6C4K4","Q7SG21","Q4PBW7","Q5ALL4",,,,,,,,,,,,,,,,,
P47180,,,,,"Q6Q5G4;P47180",,,,,,,,,,,,,,,,,,,,,
P38428,,,,"P87238","P38428",,"Q7S9M9","Q4PD73",,,,,,,,,,,,,,,,,,
P34161,,,,,"Q04116;P34161",,,,"Q5AFQ1",,,,,,,,,,,,,,,,,
Q05812,,,,,,,,,,,,,,,,,,,,,,,,,,
P32634,,,,,,,,,,,,,,,,,,,,,,,,,,
P43590,,,,,"Q66RB5;P43590","Q6C610",,,"Q59ZS8",,,,,,,,,,,,,,,,,
Q08409,,,,,"Q08409",,,,,,,,,,,,,,,,,,,,,
P32829,"Q9XGM2",,,"Q09683","P32829","Q6CEM3","Q9C291",,"Q59S37",,"Q23255",,"Q9XYZ4",,,,"Q9W6K1","Q9IAM7",,,"P49959",,,,"Q9JIM0",
P25298,,,,,,,,,,,,,,,,,,,,,,,,,,
P40069,"Q8W498",,,"O60100","P40069","Q6C657","Q7S610",,"Q5A9Z5",,,"Q16S64","Q8SWQ9;Q9VV82;Q9I7R5",,,,,,,,"Q9NRP7;Q8TEX9;Q59FI4;Q6I9Y8",,,"Q8VI75;Q5U4C5","O35511",
P15700,"Q6NMK6",,,"O59771","P15700","Q6C2B0","Q7SEK2","Q4P6R8","Q59KZ3",,"Q20230;O17622",,"Q9VBI2;Q9TW62;Q8IGD0",,,"Q7ZWE9","Q7ZX23","Q5ZKE7",,,"P30085",,,"Q9DBP5","Q4KM73",
Q2V2P9,,,,,,,,,,,,,,,,,,,,,,,,,,
P54113,"Q8RWT5",,,"O74928","P38009;P54113",,"Q7SDI1",,,,,,,,,,,,,,,,,,,
P15179,,,,"O94242","P15179",,"Q7SHN3",,,,,,"Q9VJH2",,,,,,,,"Q9H9J7",,,"Q811F8;Q8BIP0",,
P38821,,,,"O36014","P38821","Q6CFM9","Q7RYK7","Q4PGE5","Q59WG6",,,,,,,,,,,,,,,,,
P32611,,,,"Q9Y7P4","P32611","Q6C9B0",,"Q4P5V2","Q5A7P6",,,,,,,,,,,,,,,,,
P25270,"Q8W497",,,"O94631","P25270",,"Q7S731",,,,"Q9XWY8",,,,,,,,,,,,,"Q99J25",,
Q07442,,,,,"Q07442;P35817",,,,,,,,,,,,,,,,,,,,,
P45819,,,,,,,,,,,,,,,,,,,,,,,,,,
P46962,,,,"O59748","P46962","Q6C602","Q7RYB2","Q4P5R2","Q59VQ2",,,,,,,,"Q91819",,,,,,,,,
P40056,,,,,"P40056",,,,"Q5APC6",,,,,,,,,,,,,,,,,
P53156,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06510,,,,,"Q06510","Q6CBZ7","Q7S116",,"Q59X35",,,,,,,,,,,,,,,,,
P38347,,,,,"P38347",,"Q6MV44",,"Q5A0K3",,,,,,,,,,,,,,,,,
P38172,,,,,"P38172",,,,,,,,,,,,,,,,,,,,,
P53275,,,,,"P53275","Q6CAL3",,"Q4P5F2",,,,,,,,,,,,,,,,,,
P36081,,,,,"P36081","Q6C7P0",,,"Q5ALP3;Q5AM42",,,,,,,,,,,,,,,,,
Q06338,,,,,,,,,,,,,,,,,,,,,,,,,,
P53859,,,,"O59821","P53859","Q6CHR4","Q9C2G2","Q4PGS3",,,,,,,,,,,,,,,,,,
P32565,,,,"O74762","P32565","Q6C288","Q7S0G3","Q4P527","Q5A3L0",,,,,,,,,,,,,,,,,
P00431,,,,,"P00431","Q6C0Z6","Q7SDV9","Q4PBY6","Q5AEN1",,,,,,,,,,,,,,,,,
P35688,,,,,"P35688",,"Q6MUX9",,,,,,,,,,,,,,,,,,,
P40081,"Q6IDA8",,,"O94279","P40081","Q6CFC7",,,,,,,,,,,,,,,"Q86V88",,,"Q9D967",,
P47153,,,,,"P47153",,,,,,,,,,,,,,,,,,,,,
P41735,,,,"O74826","P41735","Q6C5T9","Q7RZB1",,"Q5A1Q6",,"P48376","Q1HQL9","Q9TVU0;Q9W3W4",,,"A2RV27","Q640V8",,,,"Q49A71;Q99807;Q9H0T5;Q8NI45;Q9BTT7",,,"P97478","Q63619",
P52918,,,,,,,,,,,,,,,,,,,,,,,,,,
P36087,,,,,"P36087",,,,"Q5AFH0",,,,,,,,,,,,,,,,,
Q08641,,,,,,,,,,,,,,,,,,,,,,,,,,
